positive,trust,anticipation,joy,negative,sadness,anger,fear,surprise,disgust,outcome
46.0,34.0,10.0,9.0,4.0,4.0,2.0,2.0,1.0,0.0,1
17.0,10.0,8.0,8.0,1.0,1.0,0.0,0.0,7.0,0.0,0
13.0,8.0,5.0,9.0,0.0,1.0,0.0,1.0,6.0,0.0,0
33.0,25.0,6.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,1
24.0,22.0,3.0,2.0,5.0,0.0,1.0,2.0,2.0,0.0,1
17.0,9.0,8.0,10.0,0.0,0.0,0.0,1.0,4.0,0.0,0
20.0,19.0,6.0,5.0,8.0,2.0,6.0,3.0,5.0,2.0,0
2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,0
16.0,7.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1
56.0,27.0,7.0,4.0,6.0,2.0,2.0,2.0,2.0,0.0,1
110.0,62.0,35.0,45.0,12.0,9.0,3.0,5.0,10.0,3.0,1
8.0,6.0,3.0,4.0,5.0,1.0,3.0,0.0,5.0,1.0,0
110.0,62.0,35.0,45.0,12.0,9.0,3.0,5.0,10.0,3.0,1
8.0,6.0,3.0,4.0,5.0,1.0,3.0,0.0,5.0,1.0,0
36.0,32.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,1
106.0,87.0,29.0,19.0,25.0,6.0,10.0,12.0,11.0,6.0,1
20.0,14.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,1
20.0,14.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,1
29.0,25.0,11.0,4.0,8.0,1.0,0.0,5.0,0.0,0.0,1
24.0,17.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1
29.0,24.0,7.0,3.0,10.0,1.0,1.0,1.0,2.0,0.0,1
28.0,16.0,2.0,2.0,5.0,1.0,2.0,2.0,0.0,0.0,1
24.0,17.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1
29.0,24.0,7.0,3.0,10.0,1.0,1.0,1.0,2.0,0.0,1
29.0,13.0,7.0,2.0,7.0,2.0,3.0,4.0,1.0,1.0,1
28.0,23.0,9.0,6.0,4.0,2.0,3.0,1.0,3.0,1.0,1
20.0,15.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
1.0,2.0,1.0,1.0,5.0,1.0,3.0,0.0,2.0,1.0,0
34.0,26.0,6.0,6.0,10.0,0.0,4.0,7.0,1.0,5.0,1
58.0,30.0,11.0,6.0,10.0,2.0,0.0,2.0,4.0,1.0,1
28.0,24.0,7.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,1
21.0,22.0,5.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,1
20.0,14.0,3.0,5.0,6.0,1.0,1.0,0.0,4.0,0.0,1
28.0,24.0,7.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,1
21.0,20.0,11.0,4.0,4.0,2.0,3.0,3.0,3.0,0.0,1
3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
24.0,22.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,0
2.0,1.0,1.0,0.0,8.0,3.0,3.0,3.0,4.0,5.0,0
24.0,22.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1
7.0,5.0,2.0,1.0,7.0,2.0,4.0,5.0,2.0,2.0,0
9.0,8.0,4.0,1.0,6.0,2.0,1.0,6.0,1.0,2.0,0
45.0,31.0,13.0,2.0,28.0,8.0,14.0,12.0,7.0,4.0,1
5.0,5.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0
45.0,31.0,13.0,2.0,28.0,8.0,14.0,12.0,7.0,4.0,1
9.0,8.0,4.0,1.0,6.0,2.0,1.0,6.0,1.0,2.0,0
35.0,28.0,12.0,3.0,20.0,0.0,2.0,3.0,7.0,10.0,1
46.0,29.0,11.0,9.0,8.0,2.0,3.0,3.0,8.0,1.0,1
7.0,5.0,4.0,1.0,9.0,4.0,4.0,4.0,2.0,5.0,0
5.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,2.0,0
25.0,19.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1
18.0,10.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,1
29.0,22.0,5.0,4.0,9.0,3.0,3.0,5.0,2.0,5.0,1
38.0,27.0,17.0,13.0,27.0,6.0,21.0,14.0,4.0,2.0,0
29.0,23.0,13.0,9.0,9.0,3.0,5.0,5.0,1.0,1.0,0
5.0,6.0,1.0,0.0,6.0,3.0,2.0,3.0,5.0,1.0,0
16.0,7.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1
21.0,21.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,1
14.0,7.0,3.0,9.0,2.0,1.0,0.0,2.0,1.0,0.0,1
52.0,37.0,22.0,14.0,8.0,3.0,1.0,1.0,3.0,0.0,0
261.0,243.0,36.0,37.0,11.0,7.0,8.0,6.0,6.0,1.0,0
36.0,27.0,5.0,3.0,8.0,1.0,1.0,5.0,3.0,0.0,1
32.0,18.0,8.0,6.0,19.0,8.0,10.0,8.0,5.0,2.0,0
34.0,23.0,8.0,6.0,9.0,3.0,5.0,5.0,5.0,4.0,1
34.0,23.0,8.0,6.0,9.0,3.0,5.0,5.0,5.0,4.0,1
29.0,26.0,9.0,5.0,5.0,2.0,3.0,4.0,4.0,2.0,1
37.0,20.0,11.0,5.0,6.0,1.0,5.0,6.0,3.0,0.0,0
20.0,17.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1
31.0,21.0,9.0,8.0,11.0,1.0,10.0,7.0,4.0,2.0,0
7.0,6.0,3.0,2.0,5.0,0.0,1.0,1.0,3.0,1.0,0
31.0,21.0,9.0,8.0,11.0,1.0,10.0,7.0,4.0,2.0,0
7.0,6.0,3.0,2.0,5.0,0.0,1.0,1.0,3.0,1.0,0
109.0,69.0,34.0,23.0,35.0,11.0,24.0,26.0,14.0,4.0,0
5.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0
5.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0
6.0,9.0,2.0,1.0,7.0,4.0,4.0,3.0,7.0,4.0,0
49.0,35.0,16.0,12.0,25.0,15.0,7.0,11.0,12.0,2.0,0
7.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0
4.0,6.0,1.0,0.0,12.0,4.0,3.0,4.0,2.0,4.0,0
14.0,5.0,3.0,0.0,12.0,8.0,3.0,1.0,2.0,4.0,0
24.0,16.0,7.0,5.0,7.0,4.0,1.0,2.0,3.0,4.0,1
20.0,19.0,8.0,6.0,7.0,0.0,3.0,3.0,1.0,0.0,0
5.0,3.0,3.0,0.0,5.0,1.0,2.0,0.0,1.0,3.0,0
37.0,25.0,9.0,2.0,5.0,1.0,1.0,0.0,3.0,2.0,1
18.0,15.0,6.0,5.0,3.0,1.0,3.0,3.0,2.0,1.0,1
48.0,35.0,8.0,6.0,6.0,1.0,3.0,3.0,9.0,0.0,1
32.0,18.0,5.0,4.0,8.0,3.0,4.0,2.0,2.0,0.0,1
8.0,10.0,2.0,1.0,6.0,3.0,3.0,3.0,4.0,2.0,0
319.0,306.0,54.0,38.0,45.0,4.0,31.0,38.0,14.0,7.0,1
36.0,29.0,12.0,10.0,8.0,5.0,3.0,4.0,5.0,0.0,1
34.0,31.0,9.0,7.0,4.0,4.0,2.0,2.0,3.0,2.0,1
34.0,31.0,9.0,7.0,4.0,4.0,2.0,2.0,3.0,2.0,1
48.0,33.0,16.0,9.0,15.0,4.0,10.0,9.0,0.0,2.0,1
11.0,11.0,5.0,6.0,6.0,2.0,1.0,5.0,3.0,0.0,0
253.0,164.0,88.0,55.0,89.0,46.0,34.0,161.0,14.0,13.0,1
326.0,195.0,117.0,50.0,139.0,87.0,74.0,117.0,22.0,36.0,1
12.0,10.0,4.0,5.0,2.0,0.0,2.0,1.0,5.0,0.0,0
72.0,38.0,14.0,7.0,8.0,3.0,2.0,5.0,8.0,3.0,1
26.0,24.0,3.0,2.0,8.0,3.0,1.0,1.0,4.0,0.0,1
44.0,39.0,12.0,12.0,7.0,4.0,2.0,2.0,1.0,2.0,0
8.0,6.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0
16.0,13.0,7.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1
23.0,8.0,7.0,0.0,8.0,2.0,3.0,4.0,5.0,3.0,1
3.0,5.0,2.0,1.0,8.0,3.0,4.0,3.0,4.0,2.0,0
14.0,9.0,4.0,1.0,12.0,3.0,6.0,9.0,5.0,6.0,1
4.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0
20.0,20.0,7.0,4.0,13.0,2.0,6.0,7.0,4.0,1.0,0
4.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0
31.0,21.0,7.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,1
97.0,76.0,19.0,14.0,21.0,9.0,15.0,13.0,7.0,1.0,0
85.0,64.0,16.0,11.0,20.0,6.0,6.0,2.0,11.0,8.0,1
102.0,79.0,18.0,15.0,31.0,12.0,26.0,22.0,3.0,3.0,0
12.0,9.0,4.0,4.0,7.0,5.0,5.0,5.0,4.0,3.0,0
81.0,74.0,18.0,11.0,26.0,8.0,18.0,22.0,2.0,4.0,0
81.0,74.0,18.0,11.0,26.0,8.0,18.0,22.0,2.0,4.0,0
17.0,9.0,4.0,3.0,7.0,4.0,3.0,3.0,2.0,1.0,1
18.0,14.0,7.0,4.0,6.0,2.0,3.0,3.0,2.0,1.0,0
9.0,8.0,7.0,3.0,5.0,0.0,2.0,3.0,3.0,0.0,0
39.0,33.0,6.0,4.0,19.0,6.0,5.0,8.0,10.0,4.0,1
37.0,32.0,10.0,5.0,13.0,2.0,3.0,4.0,2.0,6.0,1
50.0,34.0,27.0,15.0,16.0,7.0,8.0,8.0,8.0,5.0,0
31.0,25.0,3.0,2.0,5.0,3.0,4.0,8.0,4.0,1.0,1
92.0,103.0,21.0,10.0,13.0,4.0,5.0,4.0,4.0,4.0,1
26.0,28.0,7.0,6.0,11.0,4.0,6.0,7.0,6.0,2.0,1
31.0,25.0,3.0,2.0,5.0,3.0,4.0,8.0,4.0,1.0,1
4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0
4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0
37.0,15.0,6.0,5.0,4.0,1.0,2.0,1.0,1.0,0.0,1
24.0,17.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1
50.0,32.0,22.0,17.0,5.0,1.0,3.0,2.0,11.0,0.0,1
19.0,20.0,4.0,3.0,6.0,3.0,5.0,4.0,0.0,5.0,1
8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
20.0,15.0,11.0,9.0,0.0,0.0,0.0,3.0,4.0,0.0,0
19.0,20.0,4.0,3.0,6.0,3.0,5.0,4.0,0.0,5.0,1
8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
20.0,15.0,11.0,9.0,0.0,0.0,0.0,3.0,4.0,0.0,0
29.0,22.0,4.0,0.0,8.0,2.0,1.0,4.0,2.0,1.0,1
81.0,58.0,17.0,13.0,18.0,5.0,4.0,11.0,9.0,0.0,1
36.0,30.0,10.0,8.0,21.0,6.0,12.0,8.0,2.0,5.0,1
10.0,9.0,6.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,0
36.0,19.0,5.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1
75.0,74.0,35.0,26.0,15.0,2.0,4.0,4.0,6.0,1.0,1
69.0,41.0,19.0,15.0,16.0,10.0,12.0,12.0,10.0,2.0,0
78.0,70.0,21.0,19.0,15.0,7.0,3.0,6.0,3.0,3.0,1
28.0,24.0,10.0,4.0,18.0,11.0,13.0,17.0,9.0,9.0,1
43.0,46.0,13.0,2.0,19.0,6.0,9.0,9.0,4.0,10.0,1
51.0,40.0,21.0,7.0,12.0,1.0,7.0,9.0,2.0,1.0,0
93.0,71.0,33.0,23.0,32.0,10.0,17.0,19.0,11.0,10.0,1
22.0,13.0,4.0,2.0,7.0,5.0,2.0,1.0,3.0,1.0,0
21.0,17.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,5.0,1
27.0,21.0,9.0,8.0,7.0,1.0,7.0,5.0,7.0,2.0,1
27.0,21.0,9.0,8.0,7.0,1.0,7.0,5.0,7.0,2.0,1
37.0,22.0,7.0,8.0,6.0,4.0,5.0,5.0,5.0,1.0,0
51.0,133.0,20.0,23.0,19.0,11.0,8.0,15.0,14.0,6.0,0
27.0,20.0,9.0,2.0,11.0,2.0,4.0,4.0,2.0,1.0,0
50.0,38.0,19.0,9.0,23.0,11.0,15.0,17.0,14.0,4.0,0
34.0,18.0,2.0,4.0,14.0,6.0,1.0,1.0,2.0,2.0,1
103.0,67.0,40.0,30.0,32.0,10.0,22.0,22.0,18.0,7.0,0
25.0,19.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
27.0,24.0,9.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,1
25.0,25.0,7.0,5.0,5.0,1.0,2.0,5.0,2.0,0.0,0
35.0,22.0,6.0,6.0,9.0,3.0,2.0,4.0,3.0,3.0,1
115.0,78.0,38.0,34.0,41.0,15.0,29.0,43.0,22.0,11.0,0
32.0,15.0,7.0,4.0,5.0,1.0,6.0,4.0,6.0,1.0,0
54.0,45.0,18.0,16.0,13.0,5.0,9.0,10.0,7.0,0.0,0
51.0,38.0,27.0,21.0,10.0,3.0,6.0,10.0,7.0,1.0,0
30.0,20.0,9.0,5.0,8.0,3.0,5.0,6.0,2.0,1.0,0
80.0,81.0,22.0,16.0,21.0,2.0,10.0,9.0,3.0,1.0,1
80.0,81.0,22.0,16.0,21.0,2.0,10.0,9.0,3.0,1.0,1
22.0,19.0,8.0,2.0,7.0,0.0,3.0,2.0,2.0,1.0,0
24.0,23.0,8.0,3.0,7.0,2.0,1.0,4.0,1.0,1.0,1
16.0,9.0,7.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,1
28.0,28.0,8.0,2.0,7.0,3.0,3.0,4.0,2.0,1.0,1
102.0,69.0,17.0,57.0,7.0,4.0,1.0,2.0,3.0,1.0,1
32.0,28.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0
32.0,28.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0
17.0,13.0,7.0,1.0,7.0,1.0,3.0,1.0,0.0,0.0,0
24.0,16.0,7.0,8.0,15.0,5.0,4.0,5.0,6.0,1.0,0
58.0,50.0,19.0,21.0,17.0,6.0,15.0,6.0,2.0,1.0,1
68.0,50.0,19.0,9.0,14.0,6.0,12.0,13.0,4.0,5.0,0
28.0,21.0,8.0,5.0,6.0,3.0,4.0,5.0,1.0,3.0,0
17.0,12.0,6.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0
21.0,7.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,0.0,0
32.0,24.0,9.0,4.0,18.0,11.0,16.0,12.0,2.0,0.0,0
29.0,17.0,18.0,11.0,12.0,9.0,4.0,4.0,3.0,0.0,0
130.0,104.0,37.0,36.0,25.0,8.0,12.0,24.0,7.0,5.0,1
10.0,11.0,4.0,4.0,5.0,0.0,1.0,1.0,1.0,0.0,0
21.0,19.0,6.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,1
9.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0
9.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0
29.0,22.0,6.0,12.0,6.0,1.0,4.0,4.0,8.0,0.0,0
117.0,85.0,40.0,34.0,50.0,23.0,35.0,31.0,22.0,12.0,0
59.0,38.0,12.0,16.0,20.0,3.0,13.0,14.0,4.0,1.0,0
21.0,19.0,5.0,11.0,3.0,1.0,2.0,1.0,4.0,0.0,0
21.0,19.0,5.0,11.0,3.0,1.0,2.0,1.0,4.0,0.0,0
36.0,18.0,11.0,8.0,15.0,8.0,7.0,11.0,4.0,3.0,0
22.0,16.0,2.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,1
39.0,39.0,10.0,7.0,15.0,3.0,6.0,7.0,0.0,0.0,1
77.0,69.0,29.0,16.0,28.0,8.0,21.0,25.0,1.0,2.0,0
18.0,12.0,3.0,4.0,10.0,8.0,2.0,2.0,1.0,0.0,0
33.0,22.0,10.0,6.0,7.0,2.0,4.0,6.0,2.0,1.0,0
93.0,109.0,20.0,11.0,10.0,3.0,5.0,6.0,10.0,4.0,1
93.0,109.0,20.0,11.0,10.0,3.0,5.0,6.0,10.0,4.0,1
92.0,73.0,27.0,26.0,26.0,10.0,21.0,22.0,6.0,5.0,1
26.0,20.0,8.0,5.0,7.0,2.0,0.0,1.0,3.0,2.0,0
30.0,17.0,12.0,3.0,18.0,10.0,7.0,12.0,2.0,5.0,0
31.0,18.0,7.0,6.0,3.0,1.0,1.0,1.0,3.0,1.0,0
35.0,23.0,9.0,7.0,17.0,7.0,6.0,7.0,2.0,1.0,0
285.0,154.0,90.0,73.0,85.0,37.0,24.0,50.0,22.0,17.0,1
72.0,36.0,19.0,12.0,29.0,12.0,11.0,13.0,6.0,8.0,0
16.0,17.0,4.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,0
104.0,88.0,39.0,28.0,36.0,17.0,18.0,21.0,10.0,5.0,0
230.0,118.0,56.0,37.0,84.0,26.0,43.0,62.0,21.0,21.0,1
339.0,223.0,110.0,81.0,155.0,55.0,75.0,104.0,63.0,33.0,1
49.0,45.0,14.0,7.0,8.0,3.0,3.0,5.0,2.0,0.0,0
230.0,118.0,56.0,37.0,84.0,26.0,43.0,62.0,21.0,21.0,1
12.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,0
14.0,5.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,0.0,0
16.0,6.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0
28.0,18.0,10.0,8.0,7.0,4.0,2.0,4.0,0.0,2.0,0
23.0,16.0,3.0,4.0,5.0,0.0,3.0,0.0,3.0,0.0,1
20.0,13.0,5.0,4.0,6.0,3.0,3.0,4.0,4.0,1.0,0
55.0,45.0,8.0,7.0,12.0,3.0,8.0,13.0,3.0,0.0,0
13.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,0.0,0
69.0,42.0,27.0,18.0,29.0,14.0,23.0,23.0,17.0,5.0,0
38.0,25.0,10.0,10.0,3.0,2.0,4.0,5.0,3.0,1.0,0
29.0,28.0,28.0,10.0,1.0,1.0,3.0,4.0,1.0,1.0,0
69.0,42.0,27.0,18.0,29.0,14.0,23.0,23.0,17.0,5.0,0
75.0,72.0,49.0,29.0,13.0,10.0,11.0,17.0,6.0,5.0,0
26.0,16.0,8.0,5.0,4.0,3.0,3.0,5.0,5.0,0.0,0
31.0,27.0,2.0,4.0,9.0,2.0,3.0,3.0,2.0,3.0,1
33.0,22.0,9.0,7.0,7.0,1.0,3.0,3.0,1.0,0.0,0
24.0,25.0,8.0,10.0,6.0,5.0,3.0,5.0,3.0,2.0,0
24.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,1
636.0,520.0,217.0,349.0,313.0,173.0,185.0,221.0,230.0,128.0,0
39.0,25.0,7.0,4.0,2.0,0.0,4.0,4.0,0.0,2.0,0
40.0,33.0,16.0,6.0,11.0,5.0,2.0,5.0,3.0,0.0,1
43.0,26.0,12.0,12.0,6.0,0.0,1.0,1.0,1.0,0.0,0
24.0,18.0,6.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,1
116.0,79.0,34.0,35.0,55.0,26.0,25.0,46.0,24.0,7.0,1
36.0,39.0,10.0,7.0,15.0,4.0,4.0,2.0,3.0,1.0,1
42.0,26.0,15.0,5.0,3.0,0.0,2.0,6.0,0.0,0.0,0
38.0,30.0,8.0,5.0,8.0,4.0,8.0,10.0,2.0,3.0,0
56.0,39.0,27.0,15.0,11.0,4.0,11.0,12.0,9.0,8.0,0
296.0,213.0,135.0,106.0,83.0,39.0,26.0,32.0,23.0,6.0,1
21.0,14.0,3.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,1
25.0,17.0,12.0,9.0,4.0,2.0,2.0,1.0,3.0,0.0,0
44.0,39.0,26.0,19.0,18.0,6.0,14.0,14.0,5.0,5.0,0
17.0,11.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,1
169.0,131.0,50.0,46.0,89.0,28.0,44.0,57.0,32.0,19.0,1
19.0,11.0,9.0,4.0,5.0,0.0,2.0,1.0,0.0,0.0,1
18.0,14.0,5.0,5.0,6.0,1.0,4.0,4.0,5.0,1.0,1
45.0,28.0,23.0,11.0,6.0,5.0,2.0,4.0,2.0,2.0,0
33.0,36.0,14.0,8.0,6.0,2.0,2.0,3.0,2.0,0.0,1
57.0,37.0,22.0,17.0,26.0,12.0,15.0,20.0,8.0,7.0,1
22.0,11.0,6.0,5.0,2.0,1.0,2.0,2.0,5.0,0.0,1
40.0,42.0,7.0,5.0,4.0,0.0,2.0,1.0,3.0,0.0,1
28.0,28.0,10.0,8.0,18.0,4.0,14.0,12.0,5.0,6.0,1
43.0,26.0,24.0,7.0,17.0,6.0,13.0,9.0,6.0,4.0,1
30.0,28.0,10.0,7.0,12.0,10.0,6.0,6.0,5.0,1.0,0
30.0,20.0,9.0,5.0,4.0,0.0,4.0,7.0,0.0,1.0,0
30.0,19.0,7.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0
22.0,16.0,4.0,7.0,2.0,1.0,0.0,3.0,4.0,1.0,0
26.0,12.0,11.0,8.0,3.0,2.0,2.0,2.0,4.0,1.0,0
39.0,27.0,6.0,4.0,6.0,1.0,4.0,6.0,1.0,2.0,0
23.0,6.0,12.0,9.0,1.0,1.0,1.0,1.0,8.0,0.0,0
57.0,52.0,32.0,24.0,17.0,3.0,3.0,6.0,3.0,1.0,0
15.0,10.0,3.0,3.0,8.0,4.0,5.0,6.0,2.0,1.0,0
67.0,52.0,19.0,12.0,13.0,3.0,14.0,15.0,2.0,5.0,0
19.0,17.0,7.0,4.0,4.0,2.0,2.0,3.0,0.0,1.0,0
21.0,20.0,7.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0
65.0,53.0,17.0,9.0,8.0,3.0,6.0,7.0,4.0,2.0,0
28.0,15.0,10.0,5.0,6.0,1.0,3.0,3.0,2.0,2.0,0
25.0,19.0,8.0,8.0,4.0,3.0,1.0,1.0,2.0,2.0,0
28.0,22.0,8.0,6.0,3.0,0.0,4.0,5.0,2.0,2.0,0
184.0,159.0,54.0,48.0,111.0,51.0,71.0,68.0,15.0,26.0,0
11.0,7.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0
15.0,9.0,7.0,4.0,15.0,7.0,12.0,7.0,7.0,3.0,0
13.0,13.0,5.0,6.0,8.0,2.0,5.0,4.0,7.0,4.0,0
33.0,23.0,5.0,2.0,7.0,4.0,5.0,8.0,6.0,4.0,0
16.0,20.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,2.0,0
9.0,5.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0
16.0,18.0,7.0,1.0,22.0,16.0,14.0,16.0,11.0,9.0,0
17.0,10.0,8.0,1.0,5.0,3.0,8.0,8.0,3.0,1.0,0
26.0,27.0,4.0,7.0,7.0,1.0,5.0,4.0,9.0,1.0,0
18.0,8.0,12.0,3.0,5.0,1.0,8.0,6.0,3.0,0.0,0
43.0,44.0,17.0,4.0,27.0,17.0,21.0,17.0,12.0,11.0,0
269.0,244.0,143.0,80.0,230.0,113.0,130.0,93.0,76.0,53.0,0
42.0,34.0,15.0,6.0,35.0,28.0,20.0,19.0,7.0,12.0,0
